dataset,model,model_short,variant,trial,val_acc,clean_acc,noisy_acc,epochs,params,n_points,num_classes,batch_size
shapes3d_8way,OnEquivariantTensorFieldNetwork,OnEquivTFN,attn-pool,2,100.0,1.0,0.49324324324324326,20,1754344,600,8,32
shapes3d_8way,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,0,100.0,1.0,0.7466216216216216,50,1754344,600,8,32
shapes3d_8way,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,1,100.0,1.0,0.527027027027027,50,1754344,600,8,32
shapes3d_8way,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,2,100.0,1.0,0.46621621621621623,50,1754344,600,8,32
shapes3d_8way,PersNet,PersNet,baseline,0,100.0,1.0,0.6655405405405406,20,142472,600,8,32
shapes3d_8way,PersNet,PersNet,baseline,1,100.0,1.0,0.6182432432432432,20,142472,600,8,32
shapes3d_8way,PersNet,PersNet,baseline,2,100.0,1.0,0.6925675675675675,20,142472,600,8,32
shapes3d_8way,PersNet,PersNet,noise-aug,0,12.5,0.125,0.125,20,142472,600,8,32
shapes3d_8way,PersNet,PersNet,noise-aug,1,25.0,0.25,0.25,20,142472,600,8,32
shapes3d_8way,PersNet,PersNet,noise-aug,2,12.5,0.125,0.125,20,142472,600,8,32
shapes3d_8way,PointNetTutorial,PointNetTutorial,baseline,0,100.0,1.0,0.527027027027027,100,142408,600,8,32
shapes3d_8way,PointNetTutorial,PointNetTutorial,baseline,1,87.5,0.875,0.5574324324324325,100,142408,600,8,32
shapes3d_8way,PointNetTutorial,PointNetTutorial,baseline,2,100.0,1.0,0.5236486486486487,100,142408,600,8,32
shapes3d_8way,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,0,100.0,1.0,0.875,20,1754346,600,8,32
shapes3d_8way,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,1,21.95945945945946,0.2195945945945946,0.16216216216216217,50,1754346,600,8,32
shapes3d_8way,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,2,100.0,1.0,0.625,20,1754346,600,8,32
shapes3d_8way,RipsPointNet,RipsPointNet,baseline,0,25.0,0.25,0.25,20,282088,600,8,32
shapes3d_8way,RipsPointNet,RipsPointNet,baseline,1,74.32432432432432,0.7432432432432432,0.33783783783783783,20,282088,600,8,32
shapes3d_8way,RipsPointNet,RipsPointNet,baseline,2,100.0,1.0,0.39864864864864863,20,282088,600,8,32
shapes3d_8way,ScalarDistanceDeepSet,ScalarDeepSet,baseline,0,91.8918918918919,0.918918918918919,0.7668918918918919,100,76296,600,8,32
shapes3d_8way,ScalarDistanceDeepSet,ScalarDeepSet,baseline,1,92.22972972972973,0.9222972972972973,0.8885135135135135,100,76296,600,8,32
shapes3d_8way,ScalarDistanceDeepSet,ScalarDeepSet,baseline,2,92.9054054054054,0.9290540540540541,0.7702702702702703,100,76296,600,8,32
shapes3d_8way,ScalarInputMLP,ScalarMLP,baseline,0,44.932432432432435,0.44932432432432434,0.40540540540540543,100,669192,600,8,32
shapes3d_8way,ScalarInputMLP,ScalarMLP,baseline,1,44.25675675675676,0.44256756756756754,0.4155405405405405,100,669192,600,8,32
shapes3d_8way,ScalarInputMLP,ScalarMLP,baseline,2,78.04054054054053,0.7804054054054054,0.8006756756756757,100,669192,600,8,32
shapes3d_8way,StochasticTensorFieldNetwork,StochTFN,baseline,0,100.0,1.0,0.7432432432432432,100,42291,600,8,32
shapes3d_8way,StochasticTensorFieldNetwork,StochTFN,baseline,1,100.0,1.0,0.8614864864864865,100,42291,600,8,32
shapes3d_8way,StochasticTensorFieldNetwork,StochTFN,baseline,2,100.0,1.0,0.9121621621621622,100,42291,600,8,32
shapes3d_8way,TensorFieldNetwork,TFN,baseline,0,100.0,1.0,0.706081081081081,100,89416,600,8,32
shapes3d_8way,TensorFieldNetwork,TFN,baseline,1,100.0,1.0,0.652027027027027,100,89416,600,8,32
shapes3d_8way,TensorFieldNetwork,TFN,baseline,2,100.0,1.0,0.5709459459459459,100,89416,600,8,32
shapes3d_complex,AttentionTensorFieldNetwork,AttnTFN,baseline,0,100.0,1.0,1.0,50,904309,600,6,32
shapes3d_complex,AttentionTensorFieldNetwork,AttnTFN,baseline,1,100.0,1.0,0.6633333333333333,50,904309,600,6,32
shapes3d_complex,AttentionTensorFieldNetwork,AttnTFN,baseline,2,100.0,1.0,0.86,50,904309,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,0,100.0,1.0,0.9733333333333334,20,90439,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,1,100.0,1.0,0.8333333333333334,20,90439,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,2,100.0,1.0,0.9966666666666667,20,90439,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,baseline,0,100.0,1.0,0.6666666666666666,100,89286,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,baseline,1,100.0,1.0,1.0,100,89286,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,baseline,2,100.0,1.0,0.7066666666666667,100,89286,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,0,100.0,0.98,0.7566666666666667,20,89286,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,1,100.0,1.0,0.9633333333333334,20,89286,600,6,32
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,2,100.0,0.8333333333333334,0.5733333333333334,20,89286,600,6,32
shapes3d_complex,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,0,100.0,1.0,0.43,20,194534,600,6,32
